site	year	rep	specie	Hour
9	10	1	27	0.357638889
10	10	1	27	0.364583333
11	10	1	27	0.381944444
12	10	1	27	0.392361111
13	10	1	27	0.402777778
14	10	1	27	0.409722222
15	10	1	27	0.416666667
16	10	1	27	0.427083333
17	10	1	27	0.4375
18	10	1	27	0.447916667
19	10	1	27	0.458333333
1	11	1	27	0.291666667
2	11	1	27	0.298611111
3	11	1	27	0.309027778
4	11	1	27	0.319444444
5	11	1	27	0.326388889
6	11	1	27	0.333333333
7	11	1	27	0.340277778
8	11	1	27	0.347222222
9	11	1	27	0.357638889
10	11	1	27	0.364583333
11	11	1	27	0.381944444
12	11	1	27	0.392361111
13	11	1	27	0.402777778
14	11	1	27	0.409722222
15	11	1	27	0.416666667
16	11	1	27	0.427083333
17	11	1	27	0.43
18	11	1	27	0.447916667
19	11	1	27	0.458333333
1	12	1	27	0.291666667
2	12	1	27	0.298611111
3	12	1	27	0.309027778
4	12	1	27	0.319444444
5	12	1	27	0.326388889
6	12	1	27	0.333333333
7	12	1	27	0.340277778
8	12	1	27	0.347222222
9	12	1	27	0.357638889
10	12	1	27	0.364583333
11	12	1	27	0.381944444
12	12	1	27	0.392361111
13	12	1	27	0.402777778
14	12	1	27	0.409722222
15	12	1	27	0.416666667
16	12	1	27	0.427083333
17	12	1	27	0.4375
18	12	1	27	0.447916667
19	12	1	27	0.458333333
1	1	2	27	0.28125
2	1	2	27	0.299305556
3	1	2	27	0.307638889
4	1	2	27	0.315972222
5	1	2	27	0.320833333
6	1	2	27	0.327083333
7	1	2	27	0.336805556
8	1	2	27	0.343055556
9	1	2	27	0.353472222
10	1	2	27	0.361111111
11	1	2	27	0.382638889
12	1	2	27	0.388194444
13	1	2	27	0.402777778
14	1	2	27	0.410416667
15	1	2	27	0.416666667
16	1	2	27	0.422916667
17	1	2	27	0.43125
18	1	2	27	0.4375
19	1	2	27	0.445833333
1	2	2	27	0.28125
2	2	2	27	0.291
3	2	2	27	0.312
4	2	2	27	0.312
5	2	2	27	0.320833333
6	2	2	27	0.327083333
7	2	2	27	0.336805556
8	2	2	27	0.343055556
9	2	2	27	0.353472222
10	2	2	27	0.361111111
11	2	2	27	0.382638889
12	2	2	27	0.388194444
13	2	2	27	0.402777778
14	2	2	27	0.410416667
15	2	2	27	0.416666667
16	2	2	27	0.422916667
17	2	2	27	0.43125
18	2	2	27	0.4375
19	2	2	27	0.445833333
1	3	2	27	0.291666667
2	3	2	27	0.299305556
3	3	2	27	0.305555556
4	3	2	27	0.315972222
5	3	2	27	0.320833333
6	3	2	27	0.327083333
7	3	2	27	0.336805556
8	3	2	27	0.343055556
9	3	2	27	0.353472222
10	3	2	27	0.361111111
11	3	2	27	0.382638889
12	3	2	27	0.388194444
13	3	2	27	0.402777778
14	3	2	27	0.410416667
15	3	2	27	0.416666667
16	3	2	27	0.422916667
17	3	2	27	0.43125
18	3	2	27	0.4375
19	3	2	27	0.445833333
1	4	2	27	0.28125
2	4	2	27	0.291666667
3	4	2	27	0.301388889
4	4	2	27	0.307638889
5	4	2	27	0.315972222
6	4	2	27	0.326388889
7	4	2	27	0.334722222
8	4	2	27	0.345138889
9	4	2	27	0.354166667
10	4	2	27	0.365972222
11	4	2	27	0.381944444
12	4	2	27	0.3875
13	4	2	27	0.39375
14	4	2	27	0.399305556
15	4	2	27	0.405555556
16	4	2	27	0.414583333
17	4	2	27	0.423611111
18	4	2	27	0.427777778
19	4	2	27	0.435416667
1	5	2	27	0.286111111
2	5	2	27	0.294444444
3	5	2	27	0.303472222
4	5	2	27	0.309027778
5	5	2	27	0.314583333
6	5	2	27	0.320138889
7	5	2	27	0.326388889
8	5	2	27	0.333333333
9	5	2	27	0.343055556
10	5	2	27	0.347222222
11	5	2	27	0.364583333
12	5	2	27	0.382638889
13	5	2	27	0.3875
14	5	2	27	0.393055556
15	5	2	27	0.397916667
16	5	2	27	0.403472222
17	5	2	27	0.408333333
18	5	2	27	0.414583333
19	5	2	27	0.421527778
1	6	2	27	0.291666667
2	6	2	27	0.300694444
3	6	2	27	0.306944444
4	6	2	27	0.3125
5	6	2	27	0.317361111
6	6	2	27	0.325
7	6	2	27	0.332638889
8	6	2	27	0.341666667
9	6	2	27	0.349305556
10	6	2	27	0.358333333
11	6	2	27	0.383333333
12	6	2	27	0.389583333
13	6	2	27	0.394444444
14	6	2	27	0.4
15	6	2	27	0.404861111
16	6	2	27	0.411111111
17	6	2	27	0.418055556
18	6	2	27	0.429861111
19	6	2	27	0.436111111
1	7	2	27	0.322916667
2	7	2	27	0.333333333
3	7	2	27	0.340277778
4	7	2	27	0.347222222
5	7	2	27	0.354166667
6	7	2	27	0.361111111
7	7	2	27	0.368055556
8	7	2	27	0.381944444
9	7	2	27	0.388888889
10	7	2	27	0.395833333
11	7	2	27	0.420138889
12	7	2	27	0.427083333
13	7	2	27	0.434027778
14	7	2	27	0.4375
15	7	2	27	0.444444444
16	7	2	27	0.451388889
17	7	2	27	0.458333333
18	7	2	27	0.46875
19	7	2	27	0.475694444
1	8	2	27	0.284722222
2	8	2	27	0.291666667
3	8	2	27	0.302083333
4	8	2	27	0.309027778
5	8	2	27	0.313888889
6	8	2	27	0.319444444
7	8	2	27	0.326388889
8	8	2	27	0.333333333
9	8	2	27	0.340277778
10	8	2	27	0.350694444
11	8	2	27	0.371527778
12	8	2	27	0.381944444
13	8	2	27	0.388888889
14	8	2	27	0.395833333
15	8	2	27	0.402777778
16	8	2	27	0.409722222
17	8	2	27	0.416666667
18	8	2	27	0.427083333
19	8	2	27	0.434027778
1	9	2	27	0.284722222
2	9	2	27	0.291666667
3	9	2	27	0.302083333
4	9	2	27	0.3125
5	9	2	27	0.319444444
6	9	2	27	0.326388889
7	9	2	27	0.333333333
8	9	2	27	0.340277778
9	9	2	27	0.350694444
10	9	2	27	0.357638889
11	9	2	27	0.375
12	9	2	27	0.385416667
13	9	2	27	0.395833333
14	9	2	27	0.402777778
15	9	2	27	0.409722222
16	9	2	27	0.420138889
17	9	2	27	0.430555556
18	9	2	27	0.440972222
19	9	2	27	0.451388889
1	10	2	27	0.291666667
2	10	2	27	0.3
3	10	2	27	0.309027778
4	10	2	27	0.319444444
5	10	2	27	0.326388889
6	10	2	27	0.333333333
7	10	2	27	0.340277778
8	10	2	27	0.347222222
9	10	2	27	0.357638889
10	10	2	27	0.364583333
11	10	2	27	0.381944444
12	10	2	27	0.392361111
13	10	2	27	0.402777778
14	10	2	27	0.409722222
15	10	2	27	0.416666667
16	10	2	27	0.427083333
17	10	2	27	0.4375
18	10	2	27	0.447916667
19	10	2	27	0.458333333
1	11	2	27	0.291666667
2	11	2	27	0.298611111
3	11	2	27	0.309027778
4	11	2	27	0.319444444
5	11	2	27	0.326388889
6	11	2	27	0.333333333
7	11	2	27	0.340277778
8	11	2	27	0.347222222
9	11	2	27	0.357638889
10	11	2	27	0.364583333
11	11	2	27	0.381944444
12	11	2	27	0.392361111
13	11	2	27	0.402777778
14	11	2	27	0.409722222
15	11	2	27	0.416666667
16	11	2	27	0.427083333
17	11	2	27	0.4375
18	11	2	27	0.447916667
19	11	2	27	0.458333333
1	12	2	27	0.291666667
2	12	2	27	0.298611111
3	12	2	27	0.309027778
4	12	2	27	0.319444444
5	12	2	27	0.326388889
6	12	2	27	0.333333333
7	12	2	27	0.340277778
8	12	2	27	0.347222222
9	12	2	27	0.357638889
10	12	2	27	0.364583333
11	12	2	27	0.381944444
12	12	2	27	0.392361111
13	12	2	27	0.402777778
14	12	2	27	0.409722222
15	12	2	27	0.416666667
16	12	2	27	0.427083333
17	12	2	27	0.4375
18	12	2	27	0.447916667
19	12	2	27	0.458333333
1	1	1	28	0.292361111
2	1	1	28	0.3
3	1	1	28	0.309722222
4	1	1	28	0.316666667
5	1	1	28	0.323611111
6	1	1	28	0.331944444
7	1	1	28	0.340972222
8	1	1	28	0.349305556
9	1	1	28	0.357638889
10	1	1	28	0.365277778
11	1	1	28	0.381944444
12	1	1	28	0.388194444
13	1	1	28	0.39375
14	1	1	28	0.397916667
15	1	1	28	0.402777778
16	1	1	28	0.408333333
17	1	1	28	0.4125
18	1	1	28	0.420138889
19	1	1	28	0.427083333
1	2	1	28	0.292361111
2	2	1	28	0.3
3	2	1	28	0.309722222
4	2	1	28	0.316666667
5	2	1	28	0.323611111
6	2	1	28	0.331944444
7	2	1	28	0.340972222
8	2	1	28	0.349305556
9	2	1	28	0.357638889
10	2	1	28	0.365277778
11	2	1	28	0.381944444
12	2	1	28	0.388194444
13	2	1	28	0.39375
14	2	1	28	0.397916667
15	2	1	28	0.402777778
16	2	1	28	0.408333333
17	2	1	28	0.4125
18	2	1	28	0.420138889
19	2	1	28	0.427083333
1	3	1	28	0.291666667
2	3	1	28	0.300694444
3	3	1	28	0.307638889
4	3	1	28	0.315972222
5	3	1	28	0.321527778
6	3	1	28	0.327083333
7	3	1	28	0.334027778
8	3	1	28	0.339583333
9	3	1	28	0.347222222
10	3	1	28	0.354166667
11	3	1	28	0.372916667
12	3	1	28	0.381944444
13	3	1	28	0.392361111
14	3	1	28	0.397222222
15	3	1	28	0.405555556
16	3	1	28	0.413194444
17	3	1	28	0.423611111
18	3	1	28	0.43125
19	3	1	28	0.438194444
1	4	1	28	0.291666667
2	4	1	28	0.302083333
3	4	1	28	0.311805556
4	4	1	28	0.318055556
5	4	1	28	0.325694444
6	4	1	28	0.338194444
7	4	1	28	0.343055556
8	4	1	28	0.351388889
9	4	1	28	0.359722222
10	4	1	28	0.367361111
11	4	1	28	0.384027778
12	4	1	28	0.390277778
13	4	1	28	0.395833333
14	4	1	28	0.400694444
15	4	1	28	0.406944444
16	4	1	28	0.4125
17	4	1	28	0.421527778
18	4	1	28	0.425
19	4	1	28	0.43125
1	5	1	28	0.295138889
2	5	1	28	0.302083333
3	5	1	28	0.309027778
4	5	1	28	0.317361111
5	5	1	28	0.323611111
6	5	1	28	0.329861111
7	5	1	28	0.336805556
8	5	1	28	0.345138889
9	5	1	28	0.350694444
10	5	1	28	0.361111111
11	5	1	28	0.378472222
12	5	1	28	0.385416667
13	5	1	28	0.392361111
14	5	1	28	0.397222222
15	5	1	28	0.402777778
16	5	1	28	0.407638889
17	5	1	28	0.413194444
18	5	1	28	0.420138889
19	5	1	28	0.427083333
1	6	1	28	0.291666667
2	6	1	28	0.300694444
3	6	1	28	0.30625
4	6	1	28	0.311805556
5	6	1	28	0.317361111
6	6	1	28	0.323611111
7	6	1	28	0.330555556
8	6	1	28	0.340277778
9	6	1	28	0.346527778
10	6	1	28	0.355555556
11	6	1	28	0.381944444
12	6	1	28	0.386805556
13	6	1	28	0.392361111
14	6	1	28	0.395138889
15	6	1	28	0.400694444
16	6	1	28	0.405555556
17	6	1	28	0.411805556
18	6	1	28	0.41875
19	6	1	28	0.430555556
1	7	1	28	0.329861111
2	7	1	28	0.336805556
3	7	1	28	0.34375
4	7	1	28	0.350694444
5	7	1	28	0.357638889
6	7	1	28	0.364583333
7	7	1	28	0.371527778
8	7	1	28	0.381944444
9	7	1	28	0.388888889
10	7	1	28	0.399305556
11	7	1	28	0.423611111
12	7	1	28	0.430555556
13	7	1	28	0.434027778
14	7	1	28	0.440972222
15	7	1	28	0.447916667
16	7	1	28	0.452777778
17	7	1	28	0.461805556
18	7	1	28	0.472222222
19	7	1	28	0.479166667
1	8	1	28	0.326388889
2	8	1	28	0.333333333
3	8	1	28	0.34375
4	8	1	28	0.350694444
5	8	1	28	0.355555556
6	8	1	28	0.361111111
7	8	1	28	0.368055556
8	8	1	28	0.381944444
9	8	1	28	0.388888889
10	8	1	28	0.395833333
11	8	1	28	0.420138889
12	8	1	28	0.427083333
13	8	1	28	0.434027778
14	8	1	28	0.4375
15	8	1	28	0.444444444
16	8	1	28	0.451388889
17	8	1	28	0.459
18	8	1	28	0.46875
19	8	1	28	0.475694444
1	9	1	28	0.291666667
2	9	1	28	0.298611111
3	9	1	28	0.309027778
4	9	1	28	0.319444444
5	9	1	28	0.326388889
6	9	1	28	0.333333333
7	9	1	28	0.340277778
8	9	1	28	0.347222222
9	9	1	28	0.357638889
10	9	1	28	0.364583333
11	9	1	28	0.381944444
12	9	1	28	0.392361111
13	9	1	28	0.402777778
14	9	1	28	0.409722222
15	9	1	28	0.416666667
16	9	1	28	0.427083333
17	9	1	28	0.4375
18	9	1	28	0.447916667
19	9	1	28	0.458333333
1	10	1	28	0.291666667
2	10	1	28	0.298611111
3	10	1	28	0.309027778
4	10	1	28	0.319444444
5	10	1	28	0.326388889
6	10	1	28	0.333333333
7	10	1	28	0.340277778
8	10	1	28	0.347222222
9	10	1	28	0.357638889
10	10	1	28	0.364583333
11	10	1	28	0.381944444
12	10	1	28	0.392361111
13	10	1	28	0.402777778
14	10	1	28	0.409722222
15	10	1	28	0.416666667
16	10	1	28	0.427083333
17	10	1	28	0.4375
18	10	1	28	0.447916667
19	10	1	28	0.458333333
1	11	1	28	0.291666667
2	11	1	28	0.298611111
3	11	1	28	0.309027778
4	11	1	28	0.319444444
5	11	1	28	0.326388889
6	11	1	28	0.333333333
7	11	1	28	0.340277778
8	11	1	28	0.347222222
9	11	1	28	0.357638889
10	11	1	28	0.364583333
11	11	1	28	0.381944444
12	11	1	28	0.392361111
13	11	1	28	0.402777778
14	11	1	28	0.409722222
15	11	1	28	0.416666667
16	11	1	28	0.427083333
17	11	1	28	0.43
18	11	1	28	0.447916667
19	11	1	28	0.458333333
1	12	1	28	0.291666667
2	12	1	28	0.298611111
3	12	1	28	0.309027778
4	12	1	28	0.319444444
5	12	1	28	0.326388889
6	12	1	28	0.333333333
7	12	1	28	0.340277778
8	12	1	28	0.347222222
9	12	1	28	0.357638889
10	12	1	28	0.364583333
11	12	1	28	0.381944444
12	12	1	28	0.392361111
13	12	1	28	0.402777778
14	12	1	28	0.409722222
15	12	1	28	0.416666667
16	12	1	28	0.427083333
17	12	1	28	0.4375
18	12	1	28	0.447916667
19	12	1	28	0.458333333
1	1	2	28	0.28125
2	1	2	28	0.299305556
3	1	2	28	0.307638889
4	1	2	28	0.315972222
5	1	2	28	0.320833333
6	1	2	28	0.327083333
7	1	2	28	0.336805556
8	1	2	28	0.343055556
9	1	2	28	0.353472222
10	1	2	28	0.361111111
11	1	2	28	0.382638889
12	1	2	28	0.388194444
13	1	2	28	0.402777778
14	1	2	28	0.410416667
15	1	2	28	0.416666667
16	1	2	28	0.422916667
17	1	2	28	0.43125
18	1	2	28	0.4375
19	1	2	28	0.445833333
1	2	2	28	0.28125
2	2	2	28	0.291
3	2	2	28	0.312
4	2	2	28	0.312
5	2	2	28	0.320833333
6	2	2	28	0.327083333
7	2	2	28	0.336805556
8	2	2	28	0.343055556
9	2	2	28	0.353472222
10	2	2	28	0.361111111
11	2	2	28	0.382638889
12	2	2	28	0.388194444
13	2	2	28	0.402777778
14	2	2	28	0.410416667
15	2	2	28	0.416666667
16	2	2	28	0.422916667
17	2	2	28	0.43125
18	2	2	28	0.4375
19	2	2	28	0.445833333
1	3	2	28	0.291666667
2	3	2	28	0.299305556
3	3	2	28	0.305555556
4	3	2	28	0.315972222
5	3	2	28	0.320833333
6	3	2	28	0.327083333
7	3	2	28	0.336805556
8	3	2	28	0.343055556
9	3	2	28	0.353472222
10	3	2	28	0.361111111
11	3	2	28	0.382638889
12	3	2	28	0.388194444
13	3	2	28	0.402777778
14	3	2	28	0.410416667
15	3	2	28	0.416666667
16	3	2	28	0.422916667
17	3	2	28	0.43125
18	3	2	28	0.4375
19	3	2	28	0.445833333
1	4	2	28	0.28125
2	4	2	28	0.291666667
3	4	2	28	0.301388889
4	4	2	28	0.307638889
5	4	2	28	0.315972222
6	4	2	28	0.326388889
7	4	2	28	0.334722222
8	4	2	28	0.345138889
9	4	2	28	0.354166667
10	4	2	28	0.365972222
11	4	2	28	0.381944444
12	4	2	28	0.3875
13	4	2	28	0.39375
14	4	2	28	0.399305556
15	4	2	28	0.405555556
16	4	2	28	0.414583333
17	4	2	28	0.423611111
18	4	2	28	0.427777778
19	4	2	28	0.435416667
1	5	2	28	0.286111111
2	5	2	28	0.294444444
3	5	2	28	0.303472222
4	5	2	28	0.309027778
5	5	2	28	0.314583333
6	5	2	28	0.320138889
7	5	2	28	0.326388889
8	5	2	28	0.333333333
9	5	2	28	0.343055556
10	5	2	28	0.347222222
11	5	2	28	0.364583333
12	5	2	28	0.382638889
13	5	2	28	0.3875
14	5	2	28	0.393055556
15	5	2	28	0.397916667
16	5	2	28	0.403472222
17	5	2	28	0.408333333
18	5	2	28	0.414583333
19	5	2	28	0.421527778
1	6	2	28	0.291666667
2	6	2	28	0.300694444
3	6	2	28	0.306944444
4	6	2	28	0.3125
5	6	2	28	0.317361111
6	6	2	28	0.325
7	6	2	28	0.332638889
8	6	2	28	0.341666667
9	6	2	28	0.349305556
10	6	2	28	0.358333333
11	6	2	28	0.383333333
12	6	2	28	0.389583333
13	6	2	28	0.394444444
14	6	2	28	0.4
15	6	2	28	0.404861111
16	6	2	28	0.411111111
17	6	2	28	0.418055556
18	6	2	28	0.429861111
19	6	2	28	0.436111111
1	7	2	28	0.322916667
2	7	2	28	0.333333333
3	7	2	28	0.340277778
4	7	2	28	0.347222222
5	7	2	28	0.354166667
6	7	2	28	0.361111111
7	7	2	28	0.368055556
8	7	2	28	0.381944444
9	7	2	28	0.388888889
10	7	2	28	0.395833333
11	7	2	28	0.420138889
12	7	2	28	0.427083333
13	7	2	28	0.434027778
14	7	2	28	0.4375
15	7	2	28	0.444444444
16	7	2	28	0.451388889
17	7	2	28	0.458333333
18	7	2	28	0.46875
19	7	2	28	0.475694444
1	8	2	28	0.284722222
2	8	2	28	0.291666667
3	8	2	28	0.302083333
4	8	2	28	0.309027778
5	8	2	28	0.313888889
6	8	2	28	0.319444444
7	8	2	28	0.326388889
8	8	2	28	0.333333333
9	8	2	28	0.340277778
10	8	2	28	0.350694444
11	8	2	28	0.371527778
12	8	2	28	0.381944444
13	8	2	28	0.388888889
14	8	2	28	0.395833333
15	8	2	28	0.402777778
16	8	2	28	0.409722222
17	8	2	28	0.416666667
18	8	2	28	0.427083333
19	8	2	28	0.434027778
1	9	2	28	0.284722222
2	9	2	28	0.291666667
3	9	2	28	0.302083333
4	9	2	28	0.3125
5	9	2	28	0.319444444
6	9	2	28	0.326388889
7	9	2	28	0.333333333
8	9	2	28	0.340277778
9	9	2	28	0.350694444
10	9	2	28	0.357638889
11	9	2	28	0.375
12	9	2	28	0.385416667
13	9	2	28	0.395833333
14	9	2	28	0.402777778
15	9	2	28	0.409722222
16	9	2	28	0.420138889
17	9	2	28	0.430555556
18	9	2	28	0.440972222
19	9	2	28	0.451388889
1	10	2	28	0.291666667
2	10	2	28	0.3
3	10	2	28	0.309027778
4	10	2	28	0.319444444
5	10	2	28	0.326388889
6	10	2	28	0.333333333
7	10	2	28	0.340277778
8	10	2	28	0.347222222
9	10	2	28	0.357638889
10	10	2	28	0.364583333
11	10	2	28	0.381944444
12	10	2	28	0.392361111
13	10	2	28	0.402777778
14	10	2	28	0.409722222
15	10	2	28	0.416666667
16	10	2	28	0.427083333
17	10	2	28	0.4375
18	10	2	28	0.447916667
19	10	2	28	0.458333333
1	11	2	28	0.291666667
2	11	2	28	0.298611111
3	11	2	28	0.309027778
4	11	2	28	0.319444444
5	11	2	28	0.326388889
6	11	2	28	0.333333333
7	11	2	28	0.340277778
8	11	2	28	0.347222222
9	11	2	28	0.357638889
10	11	2	28	0.364583333
11	11	2	28	0.381944444
12	11	2	28	0.392361111
13	11	2	28	0.402777778
14	11	2	28	0.409722222
15	11	2	28	0.416666667
16	11	2	28	0.427083333
17	11	2	28	0.4375
18	11	2	28	0.447916667
19	11	2	28	0.458333333
1	12	2	28	0.291666667
2	12	2	28	0.298611111
3	12	2	28	0.309027778
4	12	2	28	0.319444444
5	12	2	28	0.326388889
6	12	2	28	0.333333333
7	12	2	28	0.340277778
8	12	2	28	0.347222222
9	12	2	28	0.357638889
10	12	2	28	0.364583333
11	12	2	28	0.381944444
12	12	2	28	0.392361111
13	12	2	28	0.402777778
14	12	2	28	0.409722222
15	12	2	28	0.416666667
16	12	2	28	0.427083333
17	12	2	28	0.4375
18	12	2	28	0.447916667
19	12	2	28	0.458333333
1	1	1	29	0.292361111
2	1	1	29	0.3
3	1	1	29	0.309722222
4	1	1	29	0.316666667
5	1	1	29	0.323611111
6	1	1	29	0.331944444
7	1	1	29	0.340972222
8	1	1	29	0.349305556
9	1	1	29	0.357638889
10	1	1	29	0.365277778
11	1	1	29	0.381944444
12	1	1	29	0.388194444
13	1	1	29	0.39375
14	1	1	29	0.397916667
15	1	1	29	0.402777778
16	1	1	29	0.408333333
17	1	1	29	0.4125
18	1	1	29	0.420138889
19	1	1	29	0.427083333
1	2	1	29	0.292361111
2	2	1	29	0.3
3	2	1	29	0.309722222
4	2	1	29	0.316666667
5	2	1	29	0.323611111
6	2	1	29	0.331944444
7	2	1	29	0.340972222
8	2	1	29	0.349305556
9	2	1	29	0.357638889
10	2	1	29	0.365277778
11	2	1	29	0.381944444
12	2	1	29	0.388194444
13	2	1	29	0.39375
14	2	1	29	0.397916667
15	2	1	29	0.402777778
16	2	1	29	0.408333333
17	2	1	29	0.4125
18	2	1	29	0.420138889
19	2	1	29	0.427083333
1	3	1	29	0.291666667
2	3	1	29	0.300694444
3	3	1	29	0.307638889
4	3	1	29	0.315972222
5	3	1	29	0.321527778
6	3	1	29	0.327083333
7	3	1	29	0.334027778
8	3	1	29	0.339583333
9	3	1	29	0.347222222
10	3	1	29	0.354166667
11	3	1	29	0.372916667
12	3	1	29	0.381944444
13	3	1	29	0.392361111
14	3	1	29	0.397222222
15	3	1	29	0.405555556
16	3	1	29	0.413194444
17	3	1	29	0.423611111
18	3	1	29	0.43125
19	3	1	29	0.438194444
1	4	1	29	0.291666667
2	4	1	29	0.302083333
3	4	1	29	0.311805556
4	4	1	29	0.318055556
5	4	1	29	0.325694444
6	4	1	29	0.338194444
7	4	1	29	0.343055556
8	4	1	29	0.351388889
9	4	1	29	0.359722222
10	4	1	29	0.367361111
11	4	1	29	0.384027778
12	4	1	29	0.390277778
13	4	1	29	0.395833333
14	4	1	29	0.400694444
15	4	1	29	0.406944444
16	4	1	29	0.4125
17	4	1	29	0.421527778
18	4	1	29	0.425
19	4	1	29	0.43125
1	5	1	29	0.295138889
2	5	1	29	0.302083333
3	5	1	29	0.309027778
4	5	1	29	0.317361111
5	5	1	29	0.323611111
6	5	1	29	0.329861111
7	5	1	29	0.336805556
8	5	1	29	0.345138889
9	5	1	29	0.350694444
10	5	1	29	0.361111111
11	5	1	29	0.378472222
12	5	1	29	0.385416667
13	5	1	29	0.392361111
14	5	1	29	0.397222222
15	5	1	29	0.402777778
16	5	1	29	0.407638889
17	5	1	29	0.413194444
18	5	1	29	0.420138889
19	5	1	29	0.427083333
1	6	1	29	0.291666667
2	6	1	29	0.300694444
3	6	1	29	0.30625
4	6	1	29	0.311805556
5	6	1	29	0.317361111
6	6	1	29	0.323611111
7	6	1	29	0.330555556
8	6	1	29	0.340277778
9	6	1	29	0.346527778
10	6	1	29	0.355555556
11	6	1	29	0.381944444
12	6	1	29	0.386805556
13	6	1	29	0.392361111
14	6	1	29	0.395138889
15	6	1	29	0.400694444
16	6	1	29	0.405555556
17	6	1	29	0.411805556
18	6	1	29	0.41875
19	6	1	29	0.430555556
1	7	1	29	0.329861111
2	7	1	29	0.336805556
3	7	1	29	0.34375
4	7	1	29	0.350694444
5	7	1	29	0.357638889
6	7	1	29	0.364583333
7	7	1	29	0.371527778
8	7	1	29	0.381944444
9	7	1	29	0.388888889
10	7	1	29	0.399305556
11	7	1	29	0.423611111
12	7	1	29	0.430555556
13	7	1	29	0.434027778
14	7	1	29	0.440972222
15	7	1	29	0.447916667
16	7	1	29	0.452777778
17	7	1	29	0.461805556
18	7	1	29	0.472222222
19	7	1	29	0.479166667
1	8	1	29	0.326388889
2	8	1	29	0.333333333
3	8	1	29	0.34375
4	8	1	29	0.350694444
5	8	1	29	0.355555556
6	8	1	29	0.361111111
7	8	1	29	0.368055556
8	8	1	29	0.381944444
9	8	1	29	0.388888889
10	8	1	29	0.395833333
11	8	1	29	0.420138889
12	8	1	29	0.427083333
13	8	1	29	0.434027778
14	8	1	29	0.4375
15	8	1	29	0.444444444
16	8	1	29	0.451388889
17	8	1	29	0.459
18	8	1	29	0.46875
19	8	1	29	0.475694444
1	9	1	29	0.291666667
2	9	1	29	0.298611111
3	9	1	29	0.309027778
4	9	1	29	0.319444444
5	9	1	29	0.326388889
6	9	1	29	0.333333333
7	9	1	29	0.340277778
8	9	1	29	0.347222222
9	9	1	29	0.357638889
10	9	1	29	0.364583333
11	9	1	29	0.381944444
12	9	1	29	0.392361111
13	9	1	29	0.402777778
14	9	1	29	0.409722222
15	9	1	29	0.416666667
16	9	1	29	0.427083333
17	9	1	29	0.4375
18	9	1	29	0.447916667
19	9	1	29	0.458333333
1	10	1	29	0.291666667
2	10	1	29	0.298611111
3	10	1	29	0.309027778
4	10	1	29	0.319444444
5	10	1	29	0.326388889
6	10	1	29	0.333333333
7	10	1	29	0.340277778
8	10	1	29	0.347222222
9	10	1	29	0.357638889
10	10	1	29	0.364583333
11	10	1	29	0.381944444
12	10	1	29	0.392361111
13	10	1	29	0.402777778
14	10	1	29	0.409722222
15	10	1	29	0.416666667
16	10	1	29	0.427083333
17	10	1	29	0.4375
18	10	1	29	0.447916667
19	10	1	29	0.458333333
1	11	1	29	0.291666667
2	11	1	29	0.298611111
3	11	1	29	0.309027778
4	11	1	29	0.319444444
5	11	1	29	0.326388889
6	11	1	29	0.333333333
7	11	1	29	0.340277778
8	11	1	29	0.347222222
9	11	1	29	0.357638889
10	11	1	29	0.364583333
11	11	1	29	0.381944444
12	11	1	29	0.392361111
13	11	1	29	0.402777778
14	11	1	29	0.409722222
15	11	1	29	0.416666667
16	11	1	29	0.427083333
17	11	1	29	0.43
18	11	1	29	0.447916667
19	11	1	29	0.458333333
1	12	1	29	0.291666667
2	12	1	29	0.298611111
3	12	1	29	0.309027778
4	12	1	29	0.319444444
5	12	1	29	0.326388889
6	12	1	29	0.333333333
7	12	1	29	0.340277778
8	12	1	29	0.347222222
9	12	1	29	0.357638889
10	12	1	29	0.364583333
11	12	1	29	0.381944444
12	12	1	29	0.392361111
13	12	1	29	0.402777778
14	12	1	29	0.409722222
15	12	1	29	0.416666667
16	12	1	29	0.427083333
17	12	1	29	0.4375
18	12	1	29	0.447916667
19	12	1	29	0.458333333
1	1	2	29	0.28125
2	1	2	29	0.299305556
3	1	2	29	0.307638889
4	1	2	29	0.315972222
5	1	2	29	0.320833333
6	1	2	29	0.327083333
7	1	2	29	0.336805556
8	1	2	29	0.343055556
9	1	2	29	0.353472222
10	1	2	29	0.361111111
11	1	2	29	0.382638889
12	1	2	29	0.388194444
13	1	2	29	0.402777778
14	1	2	29	0.410416667
15	1	2	29	0.416666667
16	1	2	29	0.422916667
17	1	2	29	0.43125
18	1	2	29	0.4375
19	1	2	29	0.445833333
1	2	2	29	0.28125
2	2	2	29	0.291
3	2	2	29	0.312
4	2	2	29	0.312
5	2	2	29	0.320833333
6	2	2	29	0.327083333
7	2	2	29	0.336805556
8	2	2	29	0.343055556
9	2	2	29	0.353472222
10	2	2	29	0.361111111
11	2	2	29	0.382638889
12	2	2	29	0.388194444
13	2	2	29	0.402777778
14	2	2	29	0.410416667
15	2	2	29	0.416666667
16	2	2	29	0.422916667
17	2	2	29	0.43125
18	2	2	29	0.4375
19	2	2	29	0.445833333
1	3	2	29	0.291666667
2	3	2	29	0.299305556
3	3	2	29	0.305555556
4	3	2	29	0.315972222
5	3	2	29	0.320833333
6	3	2	29	0.327083333
7	3	2	29	0.336805556
8	3	2	29	0.343055556
9	3	2	29	0.353472222
